RC Name,Actual WSN,PV Reason,Consignment ID,Casper
RC Kolkata,WSN236889,Missing Item,CN766605740,CSPR1041
RC Mumbai,WSN111059,No Defect,CN507233805,CSPR1030
RC Hyderabad,WSN754965,No Defect,CN836322188,CSPR1000
RC Bangalore,WSN864043,Damaged,CN204344305,CSPR1044
RC Kolkata,WSN283139,No Defect,CN643557443,CSPR1022
RC Bangalore,WSN768828,Wrong Product,CN188678354,CSPR1037
RC Hyderabad,WSN850335,Label Issue,CN424933934,CSPR1003
RC Delhi,WSN492352,Damaged,CN206059826,CSPR1014
RC Delhi,WSN584025,Wrong Product,CN689072014,CSPR1010
RC Hyderabad,WSN545024,Wrong Product,CN507516758,CSPR1042
RC Delhi,WSN812254,Missing Item,CN578539074,CSPR1014
RC Hyderabad,WSN997127,No Defect,CN667856243,CSPR1033
RC Hyderabad,WSN931470,Wrong Product,CN618890006,CSPR1003
RC Kolkata,WSN831655,No Defect,CN724422993,CSPR1019
RC Delhi,WSN969136,Missing Item,CN649200677,CSPR1006
RC Bangalore,WSN864449,Damaged,CN947473089,CSPR1039
RC Delhi,WSN463711,Wrong Product,CN661392533,CSPR1007
RC Mumbai,WSN769413,Damaged,CN147344156,CSPR1039
RC Bangalore,WSN730526,Missing Item,CN998964046,CSPR1036
RC Mumbai,WSN587933,Missing Item,CN360954084,CSPR1048
RC Hyderabad,WSN961687,Damaged,CN726656463,CSPR1008
RC Bangalore,WSN261202,Label Issue,CN471517610,CSPR1037
RC Mumbai,WSN376865,No Defect,CN852993085,CSPR1025
RC Bangalore,WSN547890,Missing Item,CN594065974,CSPR1046
RC Kolkata,WSN973621,Damaged,CN592209455,CSPR1044
RC Mumbai,WSN964722,Damaged,CN174160520,CSPR1028
RC Bangalore,WSN442599,Label Issue,CN864551363,CSPR1047
RC Hyderabad,WSN785973,No Defect,CN415095617,CSPR1013
RC Delhi,WSN246741,Missing Item,CN737650011,CSPR1031
RC Hyderabad,WSN284708,Label Issue,CN572836420,CSPR1037
RC Kolkata,WSN564714,Missing Item,CN963579255,CSPR1014
RC Kolkata,WSN766342,No Defect,CN416140605,CSPR1027
RC Bangalore,WSN674147,Wrong Product,CN158537931,CSPR1027
RC Bangalore,WSN235643,Missing Item,CN590789397,CSPR1024
RC Delhi,WSN434085,Missing Item,CN987367019,CSPR1044
RC Hyderabad,WSN646949,Missing Item,CN486662433,CSPR1012
RC Mumbai,WSN289585,No Defect,CN278434573,CSPR1009
RC Kolkata,WSN761617,Wrong Product,CN230133961,CSPR1028
RC Bangalore,WSN497078,Missing Item,CN803319814,CSPR1021
RC Mumbai,WSN340340,Label Issue,CN275193773,CSPR1042
RC Hyderabad,WSN124420,Damaged,CN270069480,CSPR1031
RC Hyderabad,WSN126202,Damaged,CN241385469,CSPR1032
RC Bangalore,WSN355422,Label Issue,CN502083366,CSPR1017
RC Bangalore,WSN311918,Missing Item,CN526812602,CSPR1007
RC Hyderabad,WSN796794,Damaged,CN154785648,CSPR1018
RC Delhi,WSN157537,Missing Item,CN880595861,CSPR1014
RC Delhi,WSN749649,No Defect,CN783019467,CSPR1004
RC Mumbai,WSN832461,Damaged,CN495037137,CSPR1032
RC Bangalore,WSN996643,Label Issue,CN335747035,CSPR1003
RC Kolkata,WSN487065,Wrong Product,CN126946086,CSPR1024
