WSN,Brand Name,Seller ID,Vertical,Refinishing task performed,PV remarks after Refinishing
1IY4PS_I,RED TAPE,e5c763d953f74a07,Footwear/Sandal,Spotting,No issues (PASS)
1JAKO8_K,PUMA,a91b72c849ab11d3,Footwear/Sandal,Ironing,MBT PASS
1JA64X_H,LEVI'S,d591418b408940a0,Apparel (All Clothing),Ironing + Spotting,Major Stains
1LZ89K_Z,ROADSTER,b72fd118c930aa82,Apparel (All Clothing),Ironing + Spotting,No issues (PASS)
1J6H9L_O,H&M,9a0fbc71e8832dd9,Apparel (All Clothing),Ironing,Tag issue
1KHI8M_N,STUDDS,f18caa924d7e112b,Helmet,Spotting,Damaged product
1J5K32_E,QUECHUA,44db3c8219ff09ae,Mosquito Net,MRP Label Printing (only),No issues (PASS)
1IQUBU_H,YONEX,7ce48d9911a3f201,Racquet (Badminton),Any Task + MRP Label Printing,Catalog issue
1LE4R6_V,VEGA,2db781fa88c3a921,Helmet,Spotting,No issues (PASS)
1JHGBY_X,ALLEN SOLLY,5f19aabb7712cd90,Apparel (All Clothing),Ironing,MBT PASS
1IXE3S_A,NIKE,c84ab119e011bc72,Footwear/Sandal,Abort at Admin QC,Abused product (Non-Refinishable)
1L39AS_H,WILDCRAFT,31afc982bb109ed4,Mosquito Net,Spotting,Fake/Wrong Product
1J5MF9_F,ADIDAS,8e119a77ccab4901,Apparel (All Clothing),Ironing + Spotting,No issues (PASS)
1J8V2J_P,LOCAL BRAND,0d9a4bc811229fa1,Other,MRP Label Printing (only),Other
